cell_id,x,y,area,green_mean,green_max,red_positive,blue_positive,classification,red_mean,blue_mean,red_max,blue_max,red_positive_fraction,blue_positive_fraction
1,763.7415730337078,212.95505617977528,89,73.02246856689453,131.0,False,True,blue_positive,0.0,24.719,0.0,203.0,0.0,0.0899
2,748.0555555555555,222.63492063492063,126,91.9206314086914,156.0,True,True,double_positive,122.643,43.619,195.0,221.0,0.8889,0.1746
3,890.0,228.75555555555556,45,56.977779388427734,83.0,False,False,green_only,0.0,3.978,0.0,165.0,0.0,0.0222
4,903.4146341463414,232.7378048780488,164,76.06097412109375,139.0,False,True,blue_positive,0.0,17.25,0.0,222.0,0.0,0.0671
5,869.1219512195122,234.14634146341464,41,63.219512939453125,77.0,False,False,green_only,0.146,0.0,2.0,0.0,0.0,0.0
6,925.8815789473684,229.890350877193,228,68.47368621826172,83.0,False,False,green_only,0.035,0.0,2.0,0.0,0.0,0.0
7,959.5692307692308,231.55384615384617,130,64.43077087402344,81.0,False,False,green_only,0.2,0.0,1.0,0.0,0.0,0.0
8,742.5642857142857,236.78214285714284,280,108.91071319580078,194.0,True,True,double_positive,118.193,87.536,191.0,211.0,0.8036,0.4036
9,720.0079744816587,238.9712918660287,627,111.62679290771484,207.0,True,True,double_positive,124.003,92.295,212.0,212.0,0.7911,0.4386
10,763.6780303030303,239.15530303030303,264,102.19318389892578,159.0,False,True,blue_positive,0.0,68.42,0.0,217.0,0.0,0.322
11,1015.4181818181818,243.5151515151515,165,58.490909576416016,98.0,True,True,double_positive,117.315,5.097,199.0,210.0,0.9636,0.0121
12,787.7008343265793,246.27175208581644,839,94.58641052246094,146.0,False,True,blue_positive,0.021,33.808,2.0,226.0,0.0,0.1013
13,815.905472636816,247.1414356787491,1407,81.36815643310547,100.0,False,False,green_only,0.215,1.837,4.0,101.0,0.0,0.0
14,903.7861271676301,247.58381502890174,173,84.35838317871094,115.0,False,True,blue_positive,0.081,30.624,2.0,230.0,0.0,0.1098
15,998.5686274509804,249.07843137254903,51,61.960784912109375,66.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
16,698.6385542168674,256.49397590361446,166,79.9277114868164,92.0,False,False,green_only,0.0,0.151,0.0,25.0,0.0,0.0
17,930.3879472693033,252.78154425612053,531,89.90960693359375,109.0,False,True,blue_positive,0.047,12.081,2.0,192.0,0.0,0.0151
18,654.828125,257.65625,64,60.46875,97.0,False,True,blue_positive,0.219,7.609,2.0,185.0,0.0,0.0312
19,978.7295918367347,256.2040816326531,196,73.54081726074219,85.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
20,950.3476331360947,256.40976331360946,676,88.38166046142578,110.0,False,True,blue_positive,0.689,13.006,18.0,226.0,0.0,0.0266
21,711.36,261.34,50,82.73999786376953,92.0,False,False,green_only,0.0,0.02,0.0,1.0,0.0,0.0
22,846.3727272727273,264.58181818181816,110,95.83636474609375,125.0,False,True,blue_positive,0.009,68.555,1.0,242.0,0.0,0.2909
23,857.6442307692307,266.88461538461536,104,90.00961303710938,108.0,False,True,blue_positive,0.01,26.077,1.0,204.0,0.0,0.0769
24,904.0223880597015,267.8805970149254,134,83.4552230834961,114.0,False,True,blue_positive,0.694,14.291,3.0,197.0,0.0,0.0373
25,881.49,267.84,100,81.05999755859375,97.0,False,False,green_only,0.41,5.79,2.0,113.0,0.0,0.0
26,867.4795918367347,269.4591836734694,98,85.36734771728516,117.0,False,True,blue_positive,0.0,32.571,0.0,222.0,0.0,0.1429
27,623.082191780822,272.73972602739724,73,54.58904266357422,68.0,False,False,green_only,0.548,0.014,2.0,1.0,0.0,0.0
28,1044.2641509433963,274.27358490566036,106,73.34906005859375,106.0,False,True,blue_positive,9.557,15.377,40.0,205.0,0.0,0.0377
29,972.4565217391304,273.0869565217391,46,81.56521606445312,87.0,False,False,green_only,0.0,0.043,0.0,1.0,0.0,0.0
30,1025.2238805970148,275.2835820895522,67,71.64179229736328,79.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
31,1035.4516129032259,276.3709677419355,62,70.66129302978516,79.0,False,False,green_only,0.016,0.0,1.0,0.0,0.0,0.0
32,635.1851851851852,277.28395061728395,81,66.5308609008789,102.0,False,True,blue_positive,0.198,4.79,3.0,186.0,0.0,0.0123
33,765.8076923076923,279.53846153846155,78,94.33333587646484,153.0,False,True,blue_positive,14.487,66.064,61.0,246.0,0.0256,0.2564
34,670.6938775510204,283.2959183673469,98,78.91836547851562,85.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
35,979.7802197802198,286.2857142857143,91,85.02198028564453,118.0,False,True,blue_positive,0.0,26.22,0.0,222.0,0.0,0.0879
36,1047.5483870967741,286.11290322580646,62,82.20967864990234,127.0,False,True,blue_positive,9.097,40.339,44.0,234.0,0.0,0.1774
37,659.0604838709677,288.7096774193548,248,81.0241928100586,91.0,False,False,green_only,0.137,0.149,3.0,5.0,0.0,0.0
38,679.7913043478261,288.55652173913046,115,78.83478546142578,85.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
39,850.6305418719212,291.3152709359606,203,99.27093505859375,192.0,True,True,double_positive,35.433,59.271,112.0,232.0,0.2956,0.2414
40,688.825,291.85,80,76.73750305175781,86.0,False,False,green_only,1.45,0.0,4.0,0.0,0.0,0.0
41,883.439024390244,291.5365853658537,41,81.19512176513672,112.0,False,True,blue_positive,10.122,19.39,40.0,205.0,0.0,0.0488
42,834.9178947368421,292.25684210526316,475,96.20210266113281,192.0,True,True,double_positive,48.558,46.358,255.0,232.0,0.3789,0.1747
43,862.2213740458016,295.3587786259542,131,87.6030502319336,156.0,True,True,double_positive,58.374,40.29,145.0,234.0,0.5344,0.1756
44,962.7625,296.6375,80,85.2750015258789,123.0,False,True,blue_positive,16.275,21.062,32.0,204.0,0.0,0.075
45,621.1384615384616,299.9384615384615,65,73.78461456298828,80.0,False,False,green_only,0.246,0.0,2.0,0.0,0.0,0.0
46,997.7627737226277,299.54379562043795,274,84.33576965332031,139.0,False,True,blue_positive,0.058,17.124,2.0,215.0,0.0,0.062
47,645.1973684210526,301.35526315789474,228,81.28508758544922,89.0,False,False,green_only,0.07,0.232,2.0,6.0,0.0,0.0
48,756.2531120331951,302.1908713692946,241,73.97925567626953,108.0,True,True,double_positive,54.714,7.423,109.0,209.0,0.4108,0.0207
49,1045.815340909091,300.20454545454544,352,84.31533813476562,153.0,True,True,double_positive,30.102,32.974,116.0,236.0,0.0994,0.1222
50,907.9247311827957,304.23655913978496,93,74.50537872314453,98.0,False,True,blue_positive,0.591,7.344,9.0,204.0,0.0,0.0108
51,965.2222222222222,305.22222222222223,72,86.44444274902344,140.0,False,True,blue_positive,18.306,19.486,27.0,238.0,0.0,0.0694
52,1103.6458333333333,310.0416666666667,48,60.5,68.0,False,False,green_only,0.083,0.0,2.0,0.0,0.0,0.0
53,802.6511627906976,312.3953488372093,43,73.51162719726562,92.0,False,True,blue_positive,0.07,11.256,3.0,194.0,0.0,0.0465
54,964.3882352941176,313.74117647058824,85,90.37647247314453,158.0,False,True,blue_positive,15.565,37.765,32.0,249.0,0.0,0.1412
55,741.22,313.32,50,70.76000213623047,107.0,False,True,blue_positive,11.7,8.46,41.0,198.0,0.0,0.04
56,574.6927710843373,318.21084337349396,166,62.54216766357422,70.0,False,False,green_only,1.084,0.0,8.0,0.0,0.0,0.0
57,647.8550724637681,318.3768115942029,69,79.81159210205078,85.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
58,608.8798882681564,325.122905027933,358,86.99441528320312,103.0,False,False,green_only,0.092,9.891,3.0,165.0,0.0,0.0056
59,901.2988505747127,322.7701149425287,87,76.33333587646484,108.0,False,True,blue_positive,18.425,13.908,42.0,209.0,0.0,0.046
60,623.9112903225806,324.5967741935484,124,86.07257843017578,104.0,False,True,blue_positive,2.024,6.597,15.0,214.0,0.0,0.0161
61,941.1510333863275,324.0635930047695,629,87.24006652832031,155.0,False,True,blue_positive,27.576,20.262,64.0,235.0,0.0286,0.0588
62,1130.3214285714287,328.57142857142856,56,60.53571319580078,66.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
63,633.5408163265306,330.90816326530614,196,92.38265228271484,108.0,False,True,blue_positive,1.107,34.224,12.0,210.0,0.0,0.0918
64,836.112,330.032,125,90.12000274658203,135.0,True,True,double_positive,49.568,48.216,127.0,227.0,0.448,0.192
65,854.1184210526316,337.13157894736844,304,99.81907653808594,209.0,True,True,double_positive,81.839,64.523,184.0,238.0,0.6513,0.273
66,838.5795454545455,339.67045454545456,88,83.42045593261719,111.0,True,True,double_positive,57.477,10.102,123.0,189.0,0.4545,0.0455
67,1119.5102040816328,339.46938775510205,49,72.10204315185547,77.0,False,False,green_only,0.429,0.0,2.0,0.0,0.0,0.0
68,1029.109649122807,338.640350877193,228,83.24561309814453,94.0,False,False,green_only,1.899,0.39,6.0,15.0,0.0,0.0
69,768.6585365853658,343.9756097560976,41,83.95121765136719,116.0,True,True,double_positive,31.878,25.902,217.0,195.0,0.2195,0.0976
70,635.1589743589743,346.6923076923077,195,79.76923370361328,89.0,False,False,green_only,0.303,0.092,12.0,6.0,0.0,0.0
71,959.1632653061224,343.40816326530614,98,76.7755126953125,134.0,False,True,blue_positive,0.571,11.918,8.0,204.0,0.0,0.0306
72,916.4230769230769,348.11538461538464,52,69.48076629638672,75.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
73,1026.021505376344,352.505376344086,372,89.03494262695312,167.0,False,True,blue_positive,0.124,34.581,2.0,243.0,0.0,0.1317
74,1064.3333333333333,351.6666666666667,57,77.24561309814453,107.0,False,True,blue_positive,0.0,10.035,0.0,185.0,0.0,0.0351
75,889.5506329113924,353.2278481012658,158,86.16455841064453,138.0,False,True,blue_positive,8.937,40.335,41.0,235.0,0.0,0.1456
76,771.1271186440678,354.635593220339,118,83.8559341430664,107.0,True,True,double_positive,91.5,16.229,227.0,192.0,0.6864,0.0508
77,1097.5671641791046,350.23880597014926,536,90.4197769165039,129.0,False,True,blue_positive,0.269,29.317,8.0,235.0,0.0,0.0784
78,959.311475409836,354.0409836065574,122,77.03278350830078,123.0,False,True,blue_positive,2.648,21.393,24.0,207.0,0.0,0.0738
79,621.3482142857143,358.4642857142857,112,78.375,102.0,False,True,blue_positive,0.188,12.554,2.0,195.0,0.0,0.0268
80,609.9264705882352,360.19117647058823,68,82.27941131591797,109.0,False,True,blue_positive,0.088,16.897,1.0,207.0,0.0,0.0294
81,674.2057416267943,361.7081339712919,209,63.861244201660156,72.0,False,False,green_only,0.105,0.0,3.0,0.0,0.0,0.0
82,856.013698630137,361.3972602739726,73,86.38356018066406,117.0,False,True,blue_positive,0.0,24.219,0.0,211.0,0.0,0.0685
83,1150.2622950819673,361.54918032786884,122,63.61475372314453,76.0,False,False,green_only,0.123,0.0,3.0,0.0,0.0,0.0
84,1011.75956284153,364.8879781420765,366,85.62841796875,171.0,False,True,blue_positive,0.022,24.727,2.0,246.0,0.0,0.0984
85,976.6,361.59285714285716,140,72.37142944335938,113.0,False,True,blue_positive,3.107,6.693,18.0,190.0,0.0,0.0143
86,1058.2196531791908,363.46820809248555,173,84.89595031738281,109.0,False,True,blue_positive,0.0,17.0,0.0,214.0,0.0,0.0462
87,905.804347826087,366.0217391304348,46,70.41304016113281,79.0,False,False,green_only,0.0,0.087,0.0,1.0,0.0,0.0
88,567.5,368.3666666666667,60,85.6500015258789,98.0,False,False,green_only,0.0,5.717,0.0,156.0,0.0,0.0167
89,986.9824561403509,369.5964912280702,57,81.24561309814453,120.0,False,True,blue_positive,4.579,26.789,23.0,205.0,0.0,0.0702
90,975.375,372.5,56,75.10713958740234,123.0,False,True,blue_positive,0.214,15.625,3.0,198.0,0.0,0.0536
91,1065.8684210526317,373.0,76,82.32894897460938,109.0,False,True,blue_positive,0.079,22.421,1.0,205.0,0.0,0.0789
92,891.1542056074767,375.5747663551402,214,79.5,100.0,False,False,green_only,1.393,4.953,10.0,163.0,0.0,0.0047
93,862.5577395577395,377.8157248157248,407,90.60933685302734,115.0,False,True,blue_positive,1.381,27.469,23.0,231.0,0.0,0.0737
94,1167.9823529411765,379.8411764705882,170,63.588233947753906,75.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
95,1094.7118644067796,379.8135593220339,118,84.37287902832031,137.0,False,True,blue_positive,13.712,24.347,63.0,244.0,0.0085,0.0847
96,1105.2222222222222,384.7142857142857,63,81.65079498291016,110.0,True,True,double_positive,51.492,17.73,88.0,201.0,0.3333,0.0476
97,967.7112299465241,394.8636363636364,374,77.20587921142578,136.0,False,True,blue_positive,1.658,20.634,14.0,235.0,0.0,0.0668
98,1183.990990990991,396.2072072072072,111,62.56756591796875,67.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
99,1141.840425531915,396.1170212765957,94,70.52127838134766,91.0,False,False,green_only,0.053,0.745,1.0,20.0,0.0,0.0
100,929.7587939698492,399.2814070351759,199,62.25125503540039,68.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
101,838.7950819672132,399.04918032786884,122,94.45082092285156,132.0,False,True,blue_positive,0.0,50.779,0.0,236.0,0.0,0.1967
102,1215.4982578397212,405.70383275261327,287,81.75609588623047,146.0,False,True,blue_positive,0.0,44.571,0.0,249.0,0.0,0.1672
103,848.4042553191489,405.29787234042556,47,84.7872314453125,95.0,False,False,green_only,0.0,2.723,0.0,92.0,0.0,0.0
104,828.9201877934272,406.9765258215962,213,91.07041931152344,150.0,False,True,blue_positive,2.296,41.662,17.0,219.0,0.0,0.1502
105,1115.0344827586207,406.67241379310343,58,76.81034851074219,95.0,False,True,blue_positive,0.638,3.828,7.0,170.0,0.0,0.0172
106,491.12461773700306,411.69954128440367,1308,103.65137481689453,160.0,False,True,blue_positive,2.852,61.279,34.0,213.0,0.0,0.2798
107,1060.021505376344,407.258064516129,93,90.89247131347656,116.0,False,True,blue_positive,3.409,55.903,18.0,241.0,0.0,0.2151
108,1177.8695652173913,409.7826086956522,46,67.15217590332031,72.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
109,1660.2923076923078,409.32307692307694,65,58.123077392578125,168.0,False,True,blue_positive,0.0,38.4,0.0,227.0,0.0,0.1385
110,705.6190476190476,412.1746031746032,63,56.47618865966797,61.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
111,865.133909287257,415.4622030237581,463,101.8660888671875,180.0,False,True,blue_positive,0.0,80.013,0.0,230.0,0.0,0.3391
112,996.768115942029,412.28985507246375,69,76.82608795166016,93.0,False,False,green_only,0.348,2.159,1.0,33.0,0.0,0.0
113,965.7211267605634,417.70704225352114,355,77.12394714355469,159.0,False,True,blue_positive,2.535,17.842,18.0,234.0,0.0,0.0704
114,563.4059829059829,417.95299145299145,234,81.71794891357422,92.0,False,False,green_only,0.927,0.056,4.0,4.0,0.0,0.0
115,580.1516129032258,415.5290322580645,310,77.43548583984375,92.0,False,False,green_only,0.955,0.268,4.0,21.0,0.0,0.0
116,1064.2307692307693,415.1923076923077,52,90.98076629638672,121.0,False,True,blue_positive,7.635,39.346,19.0,220.0,0.0,0.1346
117,751.0518518518519,422.7185185185185,405,80.65679168701172,120.0,False,True,blue_positive,0.351,13.259,6.0,223.0,0.0,0.0444
118,464.112,423.304,125,88.09600067138672,104.0,False,False,green_only,0.0,9.952,0.0,118.0,0.0,0.0
119,592.5108695652174,428.5108695652174,92,67.98912811279297,74.0,False,False,green_only,0.859,0.0,4.0,0.0,0.0,0.0
120,658.3705179282869,427.2629482071713,502,63.701194763183594,74.0,False,False,green_only,0.239,0.0,2.0,0.0,0.0,0.0
121,995.3030303030303,425.6363636363636,165,83.20606231689453,108.0,False,True,blue_positive,2.479,12.879,23.0,205.0,0.0,0.0364
122,832.0388888888889,427.06666666666666,180,88.8499984741211,136.0,False,True,blue_positive,0.044,36.572,2.0,235.0,0.0,0.15
123,452.56470588235294,429.5,170,74.07646942138672,90.0,False,False,green_only,0.518,0.053,3.0,6.0,0.0,0.0
124,1014.1343283582089,428.3731343283582,67,83.94029998779297,112.0,False,True,blue_positive,0.0,25.478,0.0,205.0,0.0,0.0896
125,982.5434782608696,430.44202898550725,138,88.0797119140625,123.0,False,True,blue_positive,5.674,39.913,25.0,230.0,0.0,0.1304
126,1199.622641509434,429.91509433962267,106,73.5660400390625,90.0,False,False,green_only,0.0,0.557,0.0,28.0,0.0,0.0
127,1248.0394736842106,430.13157894736844,76,59.23684310913086,86.0,False,True,blue_positive,0.0,4.184,0.0,169.0,0.0,0.0132
128,785.1760299625469,427.9007490636704,1068,97.64325714111328,178.0,False,True,blue_positive,0.411,47.555,8.0,220.0,0.0,0.1901
129,1140.9344262295083,432.5081967213115,122,73.36885070800781,82.0,False,False,green_only,2.164,0.0,7.0,0.0,0.0,0.0
130,1094.4608695652173,431.2,115,86.72174072265625,99.0,False,True,blue_positive,14.835,10.122,41.0,190.0,0.0,0.0174
131,1222.2481617647059,431.4540441176471,544,76.31617736816406,105.0,False,False,green_only,0.401,7.441,6.0,133.0,0.0,0.0037
132,1074.3095238095239,434.9761904761905,84,95.01190185546875,117.0,False,True,blue_positive,18.762,31.774,49.0,208.0,0.0,0.0952
133,1106.8676470588234,435.6764705882353,68,81.05882263183594,111.0,False,True,blue_positive,9.044,13.5,20.0,197.0,0.0,0.0441
134,1067.2,435.6,65,103.72307586669922,134.0,False,True,blue_positive,5.4,77.185,27.0,227.0,0.0,0.2769
135,929.0919540229885,439.367816091954,87,63.21839141845703,80.0,False,False,green_only,0.0,0.31,0.0,6.0,0.0,0.0
136,1115.9117647058824,438.0735294117647,68,85.42646789550781,116.0,False,True,blue_positive,11.074,21.353,31.0,202.0,0.0,0.0588
137,912.5875,439.65625,160,65.8187484741211,88.0,False,False,green_only,0.0,0.938,0.0,104.0,0.0,0.0
138,1052.8605577689243,433.9840637450199,251,93.69721221923828,127.0,True,True,double_positive,20.53,36.873,65.0,228.0,0.0518,0.1394
139,831.7943925233645,440.9018691588785,214,85.6495361328125,139.0,False,True,blue_positive,0.159,40.037,2.0,237.0,0.0,0.1589
140,892.8456375838927,440.30872483221475,149,70.29530334472656,101.0,False,True,blue_positive,0.027,6.953,2.0,203.0,0.0,0.0201
141,673.3380281690141,444.6267605633803,142,64.50704193115234,71.0,False,False,green_only,0.014,0.0,2.0,0.0,0.0,0.0
142,957.8333333333334,447.1111111111111,54,65.20370483398438,83.0,False,False,green_only,0.167,0.852,3.0,37.0,0.0,0.0
143,456.7313432835821,446.8768656716418,268,91.33209228515625,110.0,False,True,blue_positive,0.784,16.291,3.0,189.0,0.0,0.0149
144,651.0963855421687,447.33734939759034,83,64.54216766357422,72.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
145,769.1632653061224,448.7755102040816,49,91.93877410888672,177.0,False,True,blue_positive,0.0,44.551,0.0,225.0,0.0,0.1633
146,1020.7767857142857,450.7890625,896,88.91182708740234,206.0,False,True,blue_positive,0.721,30.0,13.0,239.0,0.0,0.1105
147,557.804347826087,453.1304347826087,46,72.26087188720703,79.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
148,578.6495726495726,454.29487179487177,234,74.73931884765625,91.0,False,False,green_only,0.949,0.274,7.0,8.0,0.0,0.0
149,497.44897959183675,454.265306122449,49,89.81632995605469,98.0,False,False,green_only,0.0,5.878,0.0,46.0,0.0,0.0
150,1230.4507042253522,455.6901408450704,71,68.11267852783203,75.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
151,883.3655589123867,456.89123867069486,331,66.55891418457031,113.0,False,True,blue_positive,0.091,5.831,2.0,211.0,0.0,0.0181
152,1081.5344827586207,455.93793103448274,290,117.59654998779297,220.0,False,True,blue_positive,0.0,108.441,0.0,213.0,0.0,0.5069
153,652.0422535211268,457.3521126760563,142,62.11971664428711,69.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
154,510.2277227722772,458.46534653465346,101,85.46534729003906,101.0,False,True,blue_positive,0.832,7.505,2.0,168.0,0.0,0.0099
155,953.8582089552239,457.85074626865674,134,66.91790771484375,99.0,False,True,blue_positive,2.993,14.254,17.0,206.0,0.0,0.0448
156,964.9876543209876,460.0246913580247,81,65.44444274902344,87.0,False,False,green_only,0.679,1.975,7.0,33.0,0.0,0.0
157,776.4806629834254,459.5303867403315,181,95.2596664428711,134.0,False,True,blue_positive,0.011,46.061,2.0,229.0,0.0,0.1713
158,1057.21875,461.3125,128,109.2734375,171.0,False,True,blue_positive,0.0,104.289,0.0,217.0,0.0,0.4844
159,449.0875,462.85,400,96.25250244140625,111.0,False,True,blue_positive,0.53,34.587,3.0,206.0,0.0,0.045
160,1252.3538461538462,465.0769230769231,65,54.661537170410156,60.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
161,697.6382978723404,466.63829787234044,47,63.36170196533203,79.0,False,False,green_only,0.0,2.213,0.0,29.0,0.0,0.0
162,775.9827586206897,470.62068965517244,58,96.44827270507812,133.0,False,True,blue_positive,0.0,53.845,0.0,211.0,0.0,0.1724
163,800.052,466.532,250,108.73999786376953,151.0,False,True,blue_positive,0.372,109.88,3.0,221.0,0.0,0.48
164,1224.7761194029852,469.4776119402985,134,67.86566925048828,74.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
165,427.709219858156,468.6808510638298,141,76.29077911376953,93.0,False,False,green_only,0.319,0.213,1.0,14.0,0.0,0.0
166,583.3218390804598,470.82758620689657,87,69.17241668701172,90.0,False,False,green_only,1.322,2.023,3.0,108.0,0.0,0.0
167,1159.4497354497355,470.95238095238096,189,86.91534423828125,120.0,False,True,blue_positive,2.995,31.55,15.0,229.0,0.0,0.1111
168,655.8125,474.5125,80,60.67499923706055,66.0,False,False,green_only,0.375,0.0,2.0,0.0,0.0,0.0
169,687.508064516129,474.3790322580645,124,64.00806427001953,88.0,False,False,green_only,0.0,0.806,0.0,44.0,0.0,0.0
170,1052.024054982818,474.74570446735396,291,96.0687255859375,182.0,False,True,blue_positive,0.021,52.436,3.0,231.0,0.0,0.2199
171,456.41530054644807,477.672131147541,366,98.33333587646484,108.0,False,True,blue_positive,0.762,31.445,6.0,195.0,0.0,0.0137
172,788.4191616766467,476.2634730538922,334,91.76946258544922,145.0,False,True,blue_positive,0.147,45.359,3.0,220.0,0.0,0.1856
173,882.4285714285714,476.95238095238096,126,64.12698364257812,78.0,False,False,green_only,0.0,0.151,0.0,16.0,0.0,0.0
174,1099.3442136498516,478.14540059347183,674,114.30415344238281,238.0,False,True,blue_positive,0.476,85.902,15.0,209.0,0.0,0.4065
175,578.6459627329192,481.7826086956522,161,72.55900573730469,87.0,False,False,green_only,0.534,0.174,4.0,6.0,0.0,0.0
176,1167.2571428571428,485.1142857142857,210,77.86190795898438,90.0,False,False,green_only,2.033,1.69,17.0,46.0,0.0,0.0
177,475.39772727272725,483.6761363636364,176,97.3352279663086,107.0,False,True,blue_positive,0.392,19.551,3.0,193.0,0.0,0.017
178,498.3686567164179,485.75522388059704,670,101.62089538574219,138.0,False,True,blue_positive,1.064,69.431,4.0,219.0,0.0,0.2731
179,1249.5365853658536,485.219512195122,41,57.73170852661133,60.0,False,False,green_only,0.0,0.0,0.0,0.0,0.0,0.0
180,570.0263157894736,487.2368421052632,76,71.47368621826172,84.0,False,False,green_only,2.013,0.0,10.0,0.0,0.0,0.0
181,741.1894736842105,484.62105263157895,95,58.34737014770508,81.0,False,False,green_only,0.0,0.6,0.0,12.0,0.0,0.0
