cell_id,x,y,area,green_mean,green_max,red_positive,blue_positive,classification,red_mean,blue_mean,red_max,blue_max,red_positive_fraction,blue_positive_fraction
1,820.801872074883,240.3572542901716,641,83.55070495605469,100.0,False,False,green_only,0.111,2.685,2.0,68.0,0.0,0.0
2,729.4081419624217,236.56993736951983,958,111.04488372802734,207.0,True,True,double_positive,128.416,91.707,212.0,221.0,0.8413,0.3653
3,782.1054650047938,243.75647171620327,1043,97.65100860595703,159.0,False,False,green_only,0.059,44.514,2.0,226.0,0.0,0.1122
4,940.478731074261,250.11103100216295,1387,85.83345031738281,110.0,False,False,green_only,0.304,10.96,18.0,226.0,0.0,0.0065
5,855.6108949416342,266.8832684824903,257,93.29961395263672,125.0,False,False,green_only,0.008,49.84,1.0,242.0,0.0,0.1518
6,657.9127516778524,291.8434004474273,447,81.97315216064453,91.0,False,False,green_only,0.054,0.199,3.0,6.0,0.0,0.0
7,842.641610738255,292.26040268456376,745,97.25906372070312,192.0,True,False,red_positive,47.803,52.718,255.0,234.0,0.3718,0.1799
8,1049.0950570342206,297.32699619771864,263,86.01520538330078,127.0,False,False,green_only,27.445,35.741,116.0,234.0,0.0875,0.0989
9,608.5177993527508,325.1197411003236,309,88.23624420166016,103.0,False,False,green_only,0.087,11.405,3.0,165.0,0.0,0.0
10,941.0034843205575,324.1794425087108,574,88.39720916748047,155.0,False,False,green_only,28.369,22.146,64.0,235.0,0.0105,0.054
11,632.1370786516854,335.1123595505618,445,87.31909942626953,108.0,False,False,green_only,0.996,16.912,15.0,214.0,0.0,0.018
12,853.0827814569536,337.94039735099335,302,101.1887435913086,209.0,True,True,double_positive,85.235,66.758,184.0,238.0,0.6689,0.2285
13,1019.7779187817259,355.43401015228426,788,88.4961929321289,171.0,False,False,green_only,0.371,27.857,6.0,246.0,0.0,0.0939
14,1097.2875816993464,350.12200435729847,459,92.53594970703125,129.0,False,False,green_only,0.196,34.233,7.0,235.0,0.0,0.0697
15,740.9560770156438,362.66365824308065,1662,83.1287612915039,138.0,True,False,red_positive,69.139,17.466,200.0,239.0,0.5866,0.0343
16,862.5441988950276,378.00828729281767,362,91.91436767578125,115.0,False,False,green_only,1.506,30.638,23.0,231.0,0.0,0.0552
17,968.139175257732,396.46907216494844,388,77.73969268798828,136.0,False,False,green_only,1.451,19.923,12.0,235.0,0.0,0.0515
18,1216.0691642651298,406.9942363112392,347,79.6397705078125,146.0,False,False,green_only,0.0,37.179,0.0,249.0,0.0,0.1066
19,832.6699669966997,404.63696369636966,303,93.86138916015625,150.0,False,False,green_only,1.475,49.538,14.0,236.0,0.0,0.1551
20,864.7777777777778,415.1820330969267,423,104.39716339111328,180.0,False,True,blue_positive,0.0,87.579,0.0,230.0,0.0,0.3381
21,575.0965346534654,415.41584158415844,404,80.10395812988281,92.0,False,False,green_only,0.817,0.225,4.0,21.0,0.0,0.0
22,487.0298719772404,413.64295874822193,1406,102.33072662353516,160.0,False,False,green_only,2.66,57.866,34.0,213.0,0.0,0.1501
23,750.6063218390805,423.23275862068965,348,81.87643432617188,120.0,False,False,green_only,0.333,15.106,6.0,223.0,0.0,0.0374
24,657.8921568627451,427.4117647058824,408,64.62744903564453,74.0,False,False,green_only,0.275,0.0,2.0,0.0,0.0,0.0
25,983.0078328981723,427.2480417754569,383,84.43341827392578,123.0,False,False,green_only,3.475,21.781,25.0,230.0,0.0,0.0574
26,785.6411332633788,426.8509968520462,953,99.29800415039062,178.0,False,False,green_only,0.439,52.928,8.0,220.0,0.0,0.1511
27,1223.829207920792,433.75,404,78.77227783203125,105.0,False,False,green_only,0.443,9.703,6.0,133.0,0.0,0.0
28,1059.5598885793872,434.8217270194986,359,96.91643524169922,134.0,False,False,green_only,18.056,47.067,65.0,228.0,0.0223,0.1198
29,831.9256198347107,435.09090909090907,363,88.36363983154297,139.0,False,False,green_only,0.094,41.722,2.0,237.0,0.0,0.146
30,574.7177419354839,453.98387096774195,248,75.76612854003906,91.0,False,False,green_only,0.762,0.258,7.0,8.0,0.0,0.0
31,885.7668711656441,449.6134969325153,326,70.5950927734375,113.0,False,False,green_only,0.086,8.374,2.0,211.0,0.0,0.0215
32,1081.0452961672474,455.57491289198606,287,118.95121765136719,220.0,False,True,blue_positive,0.0,114.638,0.0,213.0,0.0,0.4321
33,1017.3687943262412,449.45390070921985,705,91.07234191894531,206.0,False,False,green_only,0.916,34.231,13.0,239.0,0.0,0.0908
34,454.1773444753946,466.67038068709377,1077,96.04364013671875,111.0,False,False,green_only,0.587,29.975,6.0,206.0,0.0,0.0111
35,1163.421568627451,477.9117647058824,306,84.51634216308594,120.0,False,False,green_only,3.0,19.889,17.0,229.0,0.0,0.0556
36,1053.7902813299233,470.61636828644504,391,101.66751861572266,182.0,False,True,blue_positive,0.015,72.946,3.0,231.0,0.0,0.2634
37,788.6662286465178,469.78712220762156,761,99.6044692993164,151.0,False,True,blue_positive,0.175,71.035,3.0,229.0,0.0,0.2497
38,1095.8380716934487,481.08899876390603,809,114.28553771972656,238.0,False,True,blue_positive,0.404,90.012,15.0,224.0,0.0,0.3325
39,577.3964285714286,480.39285714285717,280,72.54642486572266,90.0,False,False,green_only,1.082,0.729,10.0,108.0,0.0,0.0
40,497.95659163987136,485.79260450160774,622,102.8601303100586,138.0,False,True,blue_positive,1.072,74.807,4.0,219.0,0.0,0.2283
41,553.9014925373134,488.7820895522388,335,82.52835845947266,111.0,False,False,green_only,5.287,18.767,23.0,233.0,0.0,0.0328
42,415.0354796320631,508.0722733245729,761,82.83837127685547,110.0,False,False,green_only,0.531,6.729,10.0,183.0,0.0,0.0039
43,1154.7669491525423,501.978813559322,236,85.78813934326172,126.0,False,False,green_only,0.669,21.089,7.0,220.0,0.0,0.0297
44,844.3235294117648,513.8755656108598,442,75.36199188232422,198.0,False,False,green_only,0.023,12.181,2.0,246.0,0.0,0.0339
45,979.8214285714286,517.9030612244898,392,75.3954086303711,108.0,False,False,green_only,15.5,7.714,42.0,197.0,0.0,0.0051
46,1104.1078167115902,536.0107816711591,371,83.48517608642578,172.0,True,False,red_positive,33.194,28.927,122.0,251.0,0.2291,0.0863
47,492.6960065199674,543.7620211898941,1227,97.2624282836914,218.0,False,False,green_only,6.716,49.628,38.0,229.0,0.0,0.1646
48,957.7631027253668,550.3480083857443,477,76.31655883789062,137.0,False,False,green_only,7.067,4.059,30.0,207.0,0.0,0.0084
49,1047.476772616137,550.6161369193154,409,81.3471908569336,127.0,True,False,red_positive,104.741,7.357,162.0,228.0,0.9169,0.022
50,1081.801687763713,563.6413502109705,237,90.48944854736328,137.0,False,False,green_only,5.27,49.637,136.0,248.0,0.0422,0.1477
51,991.7068145800317,571.1458003169572,631,92.91917419433594,128.0,False,False,green_only,9.54,54.062,35.0,239.0,0.0,0.1601
52,1090.5696721311476,601.6168032786885,488,77.26844024658203,129.0,False,False,green_only,3.584,19.699,30.0,231.0,0.0,0.0635
53,1272.8944099378882,613.3478260869565,322,91.52173614501953,126.0,True,False,red_positive,58.522,29.214,146.0,232.0,0.5062,0.0559
54,393.95529801324506,621.8129139072847,604,78.10264587402344,98.0,False,False,green_only,1.036,1.194,14.0,198.0,0.0,0.0017
55,565.1524064171123,625.807486631016,374,78.54277801513672,164.0,True,False,red_positive,44.989,19.816,165.0,233.0,0.3128,0.0561
56,1016.652610441767,636.8012048192771,498,74.70883178710938,140.0,False,False,green_only,1.781,10.245,8.0,216.0,0.0,0.0281
57,1244.5593542260208,641.1301044634378,1053,99.94586944580078,215.0,False,True,blue_positive,11.533,58.703,193.0,224.0,0.0627,0.207
58,1217.9357798165138,645.7584097859327,327,113.23853302001953,183.0,False,True,blue_positive,6.902,104.639,25.0,225.0,0.0,0.4159
59,1084.3536701620592,644.3336510962822,1049,85.80171966552734,181.0,False,False,green_only,17.745,26.798,74.0,255.0,0.0153,0.0839
60,577.623595505618,657.7397003745318,534,77.32958984375,108.0,True,False,red_positive,53.301,10.908,224.0,206.0,0.4064,0.0169
61,1295.8954248366013,653.8856209150326,306,80.87908172607422,92.0,False,False,green_only,0.0,0.451,0.0,31.0,0.0,0.0
62,542.3741794310722,680.8030634573304,457,75.54486083984375,138.0,False,False,green_only,38.254,13.398,179.0,223.0,0.1969,0.0394
63,373.8768352365416,685.7455138662317,1226,79.9902114868164,104.0,False,False,green_only,0.828,5.799,9.0,194.0,0.0,0.0024
64,446.52044609665427,681.9553903345725,269,85.95539093017578,117.0,False,False,green_only,2.595,17.093,13.0,220.0,0.0,0.0297
65,1291.72030237581,680.4254859611231,926,88.27429962158203,106.0,False,False,green_only,0.166,13.189,3.0,190.0,0.0,0.0032
66,1816.4149659863945,683.5646258503401,294,34.986392974853516,40.0,False,False,green_only,0.16,0.0,1.0,0.0,0.0,0.0
67,1169.3977635782749,694.611821086262,1252,107.01597595214844,209.0,True,True,double_positive,41.723,78.355,154.0,223.0,0.2756,0.2804
68,768.1252236135957,718.8890876565296,559,77.84615325927734,120.0,True,False,red_positive,68.386,20.302,140.0,251.0,0.5349,0.0572
69,823.9326241134752,724.7978723404256,282,69.8723373413086,108.0,False,False,green_only,1.309,6.599,12.0,207.0,0.0,0.0142
70,952.8429319371728,731.3403141361257,382,75.3246078491211,94.0,False,False,green_only,1.636,1.429,8.0,119.0,0.0,0.0
71,1057.0732600732601,743.2747252747253,819,81.77411651611328,101.0,False,False,green_only,0.413,2.926,8.0,163.0,0.0,0.0
72,549.7276422764228,753.8861788617886,246,76.76422882080078,126.0,False,False,green_only,0.561,16.39,4.0,224.0,0.0,0.0447
73,1135.712215320911,757.1614906832298,483,93.28985595703125,155.0,False,False,green_only,29.801,54.18,98.0,241.0,0.089,0.1739
74,751.9340866290019,759.7250470809793,531,69.5630874633789,108.0,True,False,red_positive,63.207,5.316,171.0,227.0,0.4859,0.0075
75,398.83449651046857,756.4845463609172,1003,90.67896270751953,103.0,False,False,green_only,0.706,13.141,3.0,196.0,0.0,0.001
76,946.8717532467532,759.8961038961039,616,82.65097045898438,106.0,False,False,green_only,0.909,10.649,6.0,177.0,0.0,0.0032
